               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.134,            0.041863,                   0,                   0,                   0,                   0,                   0,             0.12804,             0.03027,                   0,              0.0002,              0.0002,              0.0982
                   1,             0.13733,            0.042789,                   0,                   0,                   0,                   0,                   0,             0.12737,            0.030588,                   0,           0.0002525,           0.0002525,            0.095253
